Account Name,Account Number,Account Type,Description,CUSIP,Ticker,Quantity,Acquired Date,Sale Date,Trade Currency,Market Cost/Proceeds USD,Market Cost/Proceeds Local,Cost Basis USD,Cost Basis Local,Unit Cost Basis,Original Cost,Cost Source,Unit Sale Price,Short Term Realized Gain Loss USD,Short Term Realized Gain Loss Local,Original Short Term Realized Gain Loss USD,Long Term Realized Gain Loss USD,Long Term Realized Gain Loss Local,Original Long Term Realized Gain Loss USD,FX Realized Gain Loss USD,FX Realized Gain Loss,Local Ordinary Income Gain USD,Ordinary Income Gain Local,Total Realized Gain Loss USD,Total Realized Gain Loss Local,Total Realized Gain Loss %,Disallowed Loss,Disclaimers-Cost,Disclaimers-Sold Date,Disclaimers-Acquisition Date,Security Type
Chase Account 1234,...3456,Brokerage,GHI TECHNOLOGY INC COMMON STOCK,8444369,GHI,92,6/1/26,6/2/26,,69931.86,,36194.44,,393.42,36194.44,,760.13,33737.42,,33737.42,0.00,,0.00,,,,,33737.42,,36.32,0,C,,,stock
Chase Account 1234,...3456,Brokerage,IJKL TECHNOLOGIES INC CLASS A COMMON STOCK,697a464,IJKL,100,6/2/26,8/14/26,,48563.11,,32860.89,,328.61,32860.89,,485.63,15702.22,,15702.22,0.00,,0.00,,,,,15702.22,,15.65,0,C,,,stock
Chase Account 1234,...3456,Brokerage,IJKL TECHNOLOGIES INC CLASS A COMMON STOCK,697a465,IJKL,20,6/2/26,8/13/26,,4497.78,,7018.76,,350.94,7018.76,,224.89,-2520.98,,-2520.98,0.00,,0.00,,,,,-2520.98,,14.81,0,C,,,stock
Chase Account 1234,...3456,Brokerage,IJKL TECHNOLOGIES INC CLASS A COMMON STOCK,697a466,IJKL,50,6/2/26,8/13/26,,16244.67,,8618.00,,172.36,8618.00,,324.89,7626.67,,7626.67,0.00,,0.00,,,,,7626.67,,14.35,0,C,,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,29,7/11/24,5/21/26,,17207.70,,8346.20,,287.80,8346.20,,593.37,0.00,,0.00,8861.50,,8861.50,,,,,8861.50,,57.36,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,71,7/15/24,5/21/26,,2779.10,,2698.32,,38.00,2698.32,,39.14,0.00,,0.00,80.78,,80.78,,,,,80.78,,58.38,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,100,7/15/24,5/21/26,,20023.11,,23368.44,,233.68,23368.44,,200.23,0.00,,0.00,-3345.33,,-3345.33,,,,,-3345.33,,64.98,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,29,7/15/24,5/21/26,,8197.59,,8317.84,,286.82,8317.84,,282.68,0.00,,0.00,-120.25,,-120.25,,,,,-120.25,,60.94,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,71,7/16/24,5/21/26,,2372.66,,1103.50,,15.54,1103.50,,33.42,0.00,,0.00,1269.16,,1269.16,,,,,1269.16,,65.26,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,79,12/4/24,5/21/26,,9652.04,,8558.68,,108.34,8558.68,,122.18,0.00,,0.00,1093.36,,1093.36,,,,,1093.36,,21.07,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,94,7/11/24,5/22/26,,10071.37,,10741.07,,114.27,10741.07,,107.14,0.00,,0.00,-669.70,,-669.70,,,,,-669.70,,75.05,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,6,7/11/24,5/22/26,,94.85,,49.92,,8.32,49.92,,15.81,0.00,,0.00,44.93,,44.93,,,,,44.93,,75.88,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,100,7/15/24,5/22/26,,687.11,,796.89,,7.97,796.89,,6.87,0.00,,0.00,-109.78,,-109.78,,,,,-109.78,,67.48,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,29,7/16/24,5/22/26,,17211.95,,11988.86,,413.41,11988.86,,593.52,0.00,,0.00,5223.09,,5223.09,,,,,5223.09,,66.65,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,21,7/22/24,5/22/26,,5269.04,,8743.84,,416.37,8743.84,,250.91,0.00,,0.00,-3474.80,,-3474.80,,,,,-3474.80,,68.66,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,4,7/22/24,5/22/26,,1529.65,,848.21,,212.05,848.21,,382.41,0.00,,0.00,681.44,,681.44,,,,,681.44,,70.45,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,71,11/25/24,2/20/26,,15230.92,,17866.76,,251.64,17866.76,,214.52,0.00,,0.00,-2635.84,,-2635.84,,,,,-2635.84,,14.92,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,100,7/22/24,5/22/26,,69870.67,,41946.22,,419.46,41946.22,,698.71,0.00,,0.00,27924.44,,27924.44,,,,,27924.45,,75.61,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,100,12/6/24,2/20/26,,31875.56,,18373.33,,183.73,18373.33,,318.76,0.00,,0.00,13502.22,,13502.22,,,,,13502.23,,9.04,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,6,7/24/24,5/22/26,,237.20,,259.07,,43.18,259.07,,39.53,0.00,,0.00,-21.87,,-21.87,,,,,-21.87,,92.61,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,29,12/11/24,2/20/26,,24932.01,,11671.40,,402.46,11671.40,,859.72,0.00,,0.00,13260.60,,13260.60,,,,,13260.61,,1.31,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,112,7/24/24,5/26/26,,34953.46,,45069.30,,402.40,45069.30,,312.08,0.00,,0.00,-10115.84,,-10115.84,,,,,-10115.84,,95.46,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,29,11/25/24,5/11/26,,15199.48,,12441.13,,429.00,12441.13,,524.12,0.00,,0.00,2758.35,,2758.35,,,,,2758.35,,24.89,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,23,8/22/24,5/26/26,,13194.23,,9576.48,,416.37,9576.48,,573.66,0.00,,0.00,3617.75,,3617.75,,,,,3617.75,,102.42,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,50,12/2/24,5/11/26,,37705.56,,21101.33,,422.03,21101.33,,754.11,0.00,,0.00,16604.22,,16604.22,,,,,16604.23,,25.35,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,24,8/27/24,5/26/26,,8128.96,,3309.76,,137.91,3309.76,,338.71,0.00,,0.00,4819.20,,4819.20,,,,,4819.20,,107.12,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,21,12/4/24,5/11/26,,2862.53,,4073.16,,193.96,4073.16,,136.31,0.00,,0.00,-1210.63,,-1210.63,,,,,-1210.63,,26.82,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,120,7/2/25,7/10/26,,26947.20,,18226.67,,151.89,18226.67,,224.56,0.00,,0.00,8720.53,,8720.53,,,,,8720.53,,32.51,0,C,,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,100,12/4/24,5/11/26,,18674.22,,31102.67,,311.03,31102.67,,186.74,0.00,,0.00,-12428.44,,-12428.44,,,,,-12428.45,,27.15,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,100,12/4/24,5/14/26,,56993.78,,29376.89,,293.77,29376.89,,569.94,0.00,,0.00,27616.89,,27616.89,,,,,27616.89,,26.49,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,100,12/4/24,5/14/26,,8074.67,,4981.78,,49.82,4981.78,,80.75,0.00,,0.00,3092.89,,3092.89,,,,,3092.89,,26.6,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,OPQR INC COMMON STOCK,6e8449844,OPQR,21,7/11/24,5/21/26,,12087.32,,5590.57,,266.22,5590.57,,575.59,0.00,,0.00,6496.75,,6496.75,,,,,6496.75,,61.55,0,"C,X",,,stock
Chase Account 1234,...3456,Brokerage,QRST mutual fund,443697a46,QRST,37,5/14/25,6/1/26,,11928.64,,6138.22,,165.90,6138.22,,322.40,0.00,,0.00,5790.42,,5790.42,,,,,5790.42,,28.91,0,C,,,mutual
